topic,edit_count
Movement/Abrams,14
Trooper,5
Character Tech,4
Majestic Leap,3
Rescue Beam,3
Snowball,3
Stamina Mastery,3
Spirit Rend,3
Opening Rounds,2
Paige,2
Movement/Drifter,2
The Doorman,2
Viscous/Quotes,2
Mystic Expansion,2
Seven,2
Shiv,2
Damage Resistance,2
High-Velocity Rounds,2
Compress Cooldown,2
Billy,2
Greater Expansion,2
Bullet Resilience,2
Data:Dictionary,1
Blood Tribute,1
Ivy/Quotes,1
Infernus,1
Hollow Point,1
Holliday's visual novel/Transcription,1
High-Velocity Rounds/Update history,1
Holliday,1
Heroes,1
Hideout,1
Grey Talon/Strategy,1
Early Development Build,1
Healing Nova,1
Guardian,1
Debuff Resist,1
Astral Gates,1
Mina,1
Melee damage,1
Slowing Hex,1
Shopkeeper,1
Portal:Movement,1
Occult Security and Investigation Commission,1
Movement/Character Tech,1
Spirit Resilience,1
Souls/Update history,1
Spellbreaker,1
Spirit Shredder Bullets,1
Trooper/Update history,1
Unstoppable,1
Updates,1
Walker/Update history,1
Warp Stone,1
Weapon Damage,1
Weighted Shots,1
